2023-02-15 15:43:40,778 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 23:57:50,934 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 23:57:50,934 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 23:57:50,934 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 23:57:50,935 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 23:57:50,935 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 23:57:50,935 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 23:57:50,936 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-15 23:57:50,936 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-15 23:57:50,936 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-15 23:57:50,955 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2023-02-15 23:57:50,955 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2023-02-15 23:57:50,955 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2023-02-15 23:57:50,960 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:57:50,960 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:57:50,960 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:57:53,568 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:57:53,568 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:57:53,568 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:59:06,306 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 23:59:06,306 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 23:59:06,306 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 23:59:48,093 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:59:48,093 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:59:48,093 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:59:50,815 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:59:50,815 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:59:50,815 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-16 00:00:04,969 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:00:04,969 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:00:04,969 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:01:53,601 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-16 00:01:53,601 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-16 00:01:53,601 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-16 00:01:56,191 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-16 00:01:56,191 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-16 00:01:56,191 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-16 00:02:19,889 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:02:19,889 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:02:19,889 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:04:08,621 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-16 00:04:08,621 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-16 00:04:08,621 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-16 00:04:11,103 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-16 00:04:11,103 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-16 00:04:11,103 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-16 00:04:41,470 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:04:41,470 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:04:41,470 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:04:44,086 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-16 00:04:44,086 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-16 00:04:44,086 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-16 00:04:48,762 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-16 00:04:48,762 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-16 00:04:48,762 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-16 00:05:48,747 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:05:48,747 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:05:48,747 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-16 00:14:42,920 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-16 00:14:42,920 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-16 00:14:42,920 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-16 00:14:42,942 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-16 00:14:42,942 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-16 00:14:42,942 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-16 00:14:42,945 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-16 00:14:42,945 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-16 00:14:42,945 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-16 00:14:42,958 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-16 00:14:42,958 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-16 00:14:42,958 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-16 00:14:42,970 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-16 00:14:42,970 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-16 00:14:42,970 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-16 00:14:42,974 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-16 00:14:42,974 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-16 00:14:42,974 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-16 00:14:42,977 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-16 00:14:42,977 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-16 00:14:42,977 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-16 00:14:42,988 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-16 00:14:42,988 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-16 00:14:42,988 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-16 00:14:42,992 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-16 00:14:42,992 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-16 00:14:42,992 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-16 00:14:43,141 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-16 00:14:43,141 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-16 00:14:43,141 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-16 00:14:43,143 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2023-02-16 00:14:43,143 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2023-02-16 00:14:43,143 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2023-02-16 00:32:59,951 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-16 00:32:59,951 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-16 00:32:59,952 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-16 00:32:59,952 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-16 00:32:59,953 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
