2023-02-02 15:28:30,743 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:28:40,759 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:28:41,765 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:29:00,389 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:29:10,402 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:29:11,406 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:29:11,408 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:29:21,420 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:29:22,427 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:29:22,428 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:29:32,439 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:29:33,445 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:30:54,340 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-02 15:30:54,344 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-02 15:30:54,347 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 15:30:58,229 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 15:30:58,230 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 15:30:58,235 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 15:30:58,238 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 15:30:58,253 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 15:30:58,277 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-02 15:30:58,277 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-02 15:30:58,278 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:31:08,405 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:31:09,411 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:31:09,412 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:31:19,423 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
