2023-05-12 13:40:06,497 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:40:09,238 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:43:55,163 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:44:05,529 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:44:10,619 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:50:23,773 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:51:05,274 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:51:07,744 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:52:45,316 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:52:49,192 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:53:12,037 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:53:16,637 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:55:23,129 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:55:46,887 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:55:49,515 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:57:44,533 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:58:04,760 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:58:07,439 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 14:02:02,810 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 14:02:08,816 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 14:02:19,274 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 14:08:40,854 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 14:08:59,368 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 14:09:02,168 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
